dataset,flakyTrain,nonFlakyTrain,flakyTest,nonFlakyTest,precision,recall,storage,preparationTime,predictionTime,predictedFlaky,predictedNonFlaky
achilles,54.0,7.0,14.0,2.0,0.921880341880342,0.9666666666666667,297453,8.752310702718487,0.5458189087738016,[16],[0]
alluxio-tachyon,3.0,2189.0,1.0,548.0,1.0,0.0,19285911,2.813553789733478,0.0042198469289188535,[0],[549]
ambari,3.0,6.0,1.0,2.0,0.5833333333333333,0.43333333333333335,26765,48.53565026754408,16.171747605848015,[0],[3]
hadoop,244.0,2387.0,61.0,597.0,0.9958333333333333,0.10163934426229507,23667879,23.350749600062105,0.03433285204559747,[9],[649]
jackrabbit-oak,6.0,7372.0,2.0,1843.0,1.0,0.0,74854103,5.9549085047645,0.0016261412752520143,[0],[1845]
jimfs,6.0,358.0,1.0,90.0,0.8,0.0,2477255,3.340616907562888,0.03575799129189938,[0],[91]
ninja,14.0,750.0,4.0,187.0,1.0,0.0,5825735,9.841179810633422,0.034162205814834375,[0],[191]
okhttp,53.0,1185.0,13.0,297.0,1.0,0.0,10111771,24.803420262974427,0.06144676188523044,[0],[310]
oozie,685.0,251.0,171.0,63.0,0.8745010101720517,1.0,7343155,11.22645091295308,0.026992661593816924,[186],[48]
oryx,10.0,298.0,3.0,74.0,0.5076207317586628,0.06666666666666667,2037655,7.739505232095936,0.08412604665059617,[0],[77]
spring-boot,11.0,5445.0,3.0,1362.0,1.0,0.0,53504159,31.089469783255996,0.007139007938787292,[0],[1365]
togglz,9.0,309.0,2.0,78.0,0.6375,0.016666666666666666,2119187,5.389983676521997,0.0502513858874296,[0],[80]
wro4j,8.0,802.0,2.0,201.0,1.0,0.0,6228159,7.966604810671296,0.02288887696064488,[0],[203]
